站点,type,description,匹配辅助列,取值字段,中文意思,账单字段序列,维度,绩效表对应维度
ES,Refund_Retrocharge,,Refund_Retrocharge,impuestos por abonos de envío,订单追加费-运费税,41,多维度费用,税费
ES,Refund_Retrocharge,,Refund_Retrocharge,impuesto retenido en el sitio web,订单追加费-平台代扣代缴税额,43,多维度费用,税费
ES,Tarifa de prestación de servicio,Gastos de publicidad,Tarifa de prestación de servicio/Gastos de publicidad,total,广告费,36,单维度费用,广告费
ES,Tarifas de Amazon,Tarifa basada en el rendimiento del cupón,Tarifas de Amazon/Tarifa basada en el rendimiento del cupón,total,优惠券点击费,33,单维度费用,推广费
ES,Tarifas de Amazon,Tarifa de participación en el cupón,Tarifas de Amazon/Tarifa de participación en el cupón,total,优惠活动报名费,33,单维度费用,推广费
ES,Tarifas de Amazon,Tarifa basada en el rendimiento de la oferta,Tarifas de Amazon/Tarifa basada en el rendimiento de la oferta,total,好评活动报名费,33,单维度费用,推广费
ES,Tarifas de Amazon,Tarifa de participación en la oferta,Tarifas de Amazon/Tarifa de participación en la oferta,total,好评活动服务费,33,单维度费用,推广费
ES,Tarifas de Amazon,Tarifa de registro en Vine,Tarifas de Amazon/Tarifa de registro en Vine,total,好评活动注册费,33,单维度费用,推广费
ES,Tarifas de inventario de Logística de Amazon,Tarifa por eliminación de inventario,Tarifas de inventario de Logística de Amazon/Tarifa por eliminación de inventario,total,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
ES,Tarifas de inventario de Logística de Amazon,Tarifa por almacenamiento de Logística de Amazon,Tarifas de inventario de Logística de Amazon/Tarifa por almacenamiento de Logística de Amazon,total,FBA仓储费,29,单维度费用,仓储费
ES,Tarifas de inventario de Logística de Amazon,Tarifa por almacenamiento prolongado,Tarifas de inventario de Logística de Amazon/Tarifa por almacenamiento prolongado,total,FBA长期仓储费,29,单维度费用,仓储费
ES,Tarifas de inventario de Logística de Amazon,Capacity Reservation Fee,Tarifas de inventario de Logística de Amazon/Capacity Reservation Fee,total,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
ES,Tarifas de transacción de Logística de Amazon,,Tarifas de transacción de Logística de Amazon,total,FBA配送费,25,单维度费用,尾程派送费
ES,Transferir,,Transferir,total,提现金额,18,单维度费用,
FR,Ajustement,Remboursement Stock Expédié par Amazon - Retour Client,Ajustement/Remboursement Stock Expédié par Amazon - Retour Client,total,FBA库存赔偿-客户退货,5,单维度费用,索赔
FR,Ajustement,Remboursement Stock Expédié par Amazon - Correction de frais,Ajustement/Remboursement Stock Expédié par Amazon - Correction de frais,total,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
FR,Ajustement,Remboursement Stock Expédié par Amazon - Perdu:entrepôt,Ajustement/Remboursement Stock Expédié par Amazon - Perdu:entrepôt,total,FBA库存赔偿-仓库遗失,5,单维度费用,索赔
FR,Ajustement,Remboursement Stock Expédié par Amazon - Ajustement général,Ajustement/Remboursement Stock Expédié par Amazon - Ajustement général,total,FBA库存赔偿-常规调整,35,单维度费用,售后费用
FR,Ajustement,Remboursement Stock Expédié par Amazon - Endommagé:entrepôt,Ajustement/Remboursement Stock Expédié par Amazon - Endommagé:entrepôt,total,FBA库存赔偿-仓库损毁,5,单维度费用,索赔
FR,Amazon Fees,Frais basés sur les performances des coupons,Amazon Fees/Frais basés sur les performances des coupons,total,优惠券点击费,33,单维度费用,推广费
FR,Amazon Fees,Frais de participation au coupon,Amazon Fees/Frais de participation au coupon,total,优惠活动报名费,33,单维度费用,推广费
FR,Amazon Fees,Frais de participation à une offre promotionnelle,Amazon Fees/Frais de participation à une offre promotionnelle,total,促销活动服务费,33,单维度费用,推广费
FR,Amazon Fees,Frais basés sur les performances des offres promotionnelles,Amazon Fees/Frais basés sur les performances des offres promotionnelles,total,促销活动报名费,33,单维度费用,推广费
FR,Amazon Fees,Frais d’inscription à Amazon Vine,Amazon Fees/Frais d’inscription à Amazon Vine,total,好评活动注册费,33,单维度费用,推广费
FR,Commande,,Commande,ventes de produits,商品销售收入,3,订单,订单金额
FR,Commande,,Commande,Taxes sur la vente des produits,商品销售税,41,订单,税费
FR,Commande,,Commande,crédits d'expédition,运费销售收入,8,订单,订单金额
FR,Commande,,Commande,taxe sur les crédits d’expédition,运费税,41,订单,税费
FR,Commande,,Commande,crédits sur l'emballage cadeau,包装收入,10,订单,订单金额
FR,Commande,,Commande,Taxes sur les crédits cadeaux,包装税,41,订单,税费
FR,Commande,,Commande,Rabais promotionnels,折扣金额,12,订单,订单金额
FR,Commande,,Commande,Taxes sur les remises promotionnelles,折扣税,41,订单,税费
FR,Commande,,Commande,Taxes retenues sur le site de vente,平台代扣代缴税额,43,订单,税费
FR,Commande,,Commande,frais de vente,佣金,23,订单,平台佣金
FR,Commande,,Commande,Frais Expédié par Amazon,运费,25,订单,尾程派送费
FR,Commande,,Commande,autres frais de transaction,其他交易费用,27,订单,弃置费/退货手续费/移除费
FR,Commande,,Commande,autre,其他,25,订单,售后费用
FR,Frais de service,Prix de la publicité,Frais de service/Prix de la publicité,total,广告费,36,单维度费用,广告费
FR,Frais de stock Expédié par Amazon,Frais de stockage FBA,Frais de stock Expédié par Amazon/Frais de stockage FBA,total,FBA仓储费,29,单维度费用,仓储费
FR,Frais de stock Expédié par Amazon,Frais de Stockage de longue durée Expédié par Amazon,Frais de stock Expédié par Amazon/Frais de Stockage de longue durée Expédié par Amazon,total,FBA长期仓储费,29,单维度费用,仓储费
FR,Frais de stock Expédié par Amazon,Frais de disposition Expédié par Amazon,Frais de stock Expédié par Amazon/Frais de disposition Expédié par Amazon,total,FBA弃置费,29,单维度费用,弃置费/退货手续费/移除费
FR,Frais de transaction Expédié par Amazon,,Frais de transaction Expédié par Amazon,total,FBA配送费,25,单维度费用,尾程派送费
FR,Frais de stock Expédié par Amazon,Capacity Reservation Fee,Frais de stock Expédié par Amazon/Capacity Reservation Fee,total,FBA仓储超量费,待发生此类型金额,单维度费用,仓储费
FR,Frais de service,EPR Pay-on-behalf,Frais de service/EPR Pay-on-behalf,total,其他服务费-ERP费用,33,单维度费用,推广费
FR,Frais de service,coupon,Frais de service/coupon,total,优惠活动服务费,33,单维度费用,推广费
FR,Remboursement,,Remboursement,ventes de produits,商品销售收入-退货,4,订单,退款金额
FR,Remboursement,,Remboursement,Taxes sur la vente des produits,商品销售税-退货,42,订单,税费
FR,Remboursement,,Remboursement,crédits d'expédition,运费销售收入-退货,9,订单,退款金额
FR,Remboursement,,Remboursement,taxe sur les crédits d’expédition,运费税-退货,42,订单,税费
FR,Remboursement,,Remboursement,crédits sur l'emballage cadeau,包装收入-退货,11,订单,退款金额
FR,Remboursement,,Remboursement,Taxes sur les crédits cadeaux,包装税-退货,42,订单,税费
FR,Remboursement,,Remboursement,Rabais promotionnels,折扣金额-退货,13,订单,退款金额
FR,Remboursement,,Remboursement,Taxes sur les remises promotionnelles,折扣税-退货,42,订单,税费
FR,Remboursement,,Remboursement,Taxes retenues sur le site de vente,平台代扣代缴税额-退货,43,订单,税费
FR,Remboursement,,Remboursement,frais de vente,佣金-退货,24,订单,平台佣金
FR,Remboursement,,Remboursement,Frais Expédié par Amazon,运费-退货,26,订单,尾程派送费
FR,Remboursement,,Remboursement,autres frais de transaction,其他交易费用-退货,28,订单,弃置费/退货手续费/移除费
FR,Remboursement,,Remboursement,autre,其他-退货,4,订单,售后费用
FR,Transfert,,Transfert,total,提现金额,18,单维度费用,
